name,food_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,fit
百香釀佛手瓜,29131,1.830336,-0.29910982,0.32809356,0.789289,-1.3819984,-0.0013547341,-1.2837166,0.041891966,-0.2465479,-1.2307199,1.6000389,0.2174867,-1.8440627,-0.45590448,1.8288932,1.247696,0.8020509,2.390418344239432,1.6738164862878564,0.7165199511804567,-1.2474162729397567,0.4270020658356574,1
奇異果鳳梨,29132,2.775274,-0.414911,0.005185286,0.23967764,-1.9259534,-0.09564472,0.09507924,-0.13847269,-1.0364847,-1.1802542,-0.31896308,-0.3084299,-3.2736166,-0.8330748,2.8683393,2.518731,1.5358363,2.1704689817108362,1.7999927524102888,1.2557339532111365,-1.9491513084961216,1.0560924537705116,1
木瓜蘋果,29133,2.8576834,-1.0175091,0.5118724,1.310687,-1.4692346,0.42664674,-0.29013124,0.20423594,-1.220278,-0.48019603,-0.16182135,-0.48055676,-3.324633,-2.0516305,2.5545778,1.541972,1.0030241,1.9940972498179645,3.0240158614544486,1.5144502303602734,-1.6569242624104175,1.4532331224090218,1
西瓜葡萄柚汁,29134,1.3867517,0.17787418,1.211283,0.7586202,-2.2520604,-1.6208385,-1.0253605,0.12723063,0.50722986,-0.5142434,-0.58783126,0.2724424,-3.7894273,-0.70496464,2.0940766,0.3627966,0.41738018,3.909788251608932,2.380125426728915,-0.44346786536455557,-1.392354220273491,1.7316628776835277,1
番茄鳳梨養樂多,29135,1.8202398,-1.3347766,-1.0886785,0.44908604,-1.1496228,-0.14112565,-0.39398825,-0.006741915,0.38281685,-1.7256415,-0.2514182,0.3416882,-3.3949032,-2.020127,1.6956042,2.4906008,1.7372041,0.36511808404696433,1.4635093513776953,-0.08882169420527904,-1.740381360492999,1.3802696669508296,1
綜合蔬菜汁,29136,1.9453008,-0.53229314,0.5451428,0.36223945,-1.4040178,0.75290394,-0.13893867,0.5252783,-0.8860504,-0.23499419,0.079474166,-0.6052125,-3.0914133,-1.2860416,1.548501,1.0600824,1.2466247,2.6003674212149295,2.082216532650105,1.6960742815942749,-1.1118982485120965,0.6516635920400935,1
薄荷鳳梨椰奶酪,29137,1.2666018000000001,-0.74147063,1.0083934,-0.4338203,-1.1815838,-1.495037,-2.137866,-1.5665644,1.1100242,-1.4881449,0.32830584,-0.71392035,-0.8730181,-0.43429863,1.8900769,1.5807775,0.6576417,3.054965603562495,0.86209846458314765,-1.048301411471063,-0.09617434290037158,0.8605003025190361,3
聖代百香果檸檬塔,29138,0.6380655,1.274762,1.6227082,-1.0847427,-2.0225835,-1.2978816,-1.8830372,-1.3341831,0.6708203,-0.7535284,0.6939999,-0.4684522,-1.5457909,-0.07450508,2.6558657,0.46245834,1.2243651,5.399809548980818,0.09327919614852902,-0.6638058484555284,-0.924513636137209,0.8008272757907149,3
烏龍茶水羊羹,29139,1.281472,-1.7618672,0.8665723,0.18560968,-0.97857004,-0.8046654,-2.178335,-1.134237,0.39186183,-1.2911875,1.0630705,-0.4076332,-1.4825213,0.10170068,1.0701959,1.2989534,-0.82172877,2.428688610181379,2.399859363489648,-0.9316937292348639,0.8661318855394735,-2.3656153105622302e-4,1
抹茶提拉米蘇,29140,-0.18856773,0.33580402,1.1171452,-1.1563032,-2.2398417,-0.85623646,-1.5915881,-1.6529899,0.4026345,-1.7924749,1.0044117,0.3036522,-1.0614859,0.16029084,1.6861455,0.45316797,0.5899969,4.214931198405802,-0.2045930274561515,-1.4242074803606048,-0.48046561175947344,-0.45733342862956433,3
番茄湯麵,29141,0.87145203,-3.752544,-1.4487355,0.6541817,0.66818064,0.19244024,-0.8091965,-0.9820392,1.0005672,-1.6393518,1.0661777,-0.44334885,-3.219444,-0.39964798,0.36630452,2.6196256,1.1516615,-1.2382871009773007,2.2969347966055516,-0.8840157509222191,0.8767998018374324,-0.22299462928558145,1
地瓜優格,29142,-0.15603279,1.4373456,1.6937358,-0.86789876,-1.1313624,0.29335943,-1.3257418,-2.9463348,0.6895598,-0.2556955,-0.18555926,1.3713422,-1.8862976,0.9207723,2.9407654,1.0927528,2.1129615,5.11178415783706,-0.47872360339006265,-0.4590261020691755,-0.22965191592236964,-0.4025207759595838,3
絲瓜細麵,29143,0.12822185,-3.0421164,-1.5087764,2.0279946,0.239121,0.82380659999999994,-0.09415944,-1.0088212,0.64937747,-1.1427505,0.8872966,-0.10917391,-2.3058202,-0.48141798,0.086456284,3.1973565,1.2331253,-1.8795040614379712,1.6172368060001228,0.06776287591660153,0.6478220682915752,-0.9294255867800473,1
鮮蔬綜合麵線,29144,1.0640293,-3.3993523,-1.7047733,1.6169072,-0.10285659,0.44360626,-0.37528652,-0.8470093,1.0033057,-2.3268085,1.1381788,0.08828692,-1.8677018,-0.6116108,0.43573764,3.279787,2.3533425,-2.240533919703042,1.1353599190758712,-0.08886021470176159,-0.5243530815813354,-0.4769771584550351,2
